9.840000 -4.500000 1.892547 2.500000
9.640000 -3.900000 2.034444 2.500000
9.340000 -3.300000 3.141593 2.500000
8.740000 -3.300000 -2.473303 2.500000
7.790000 -4.050000 -2.466852 2.500000
7.040000 -4.650000 -2.541542 2.500000
6.090000 -5.300000 -2.539305 2.500000
5.290000 -5.850000 -2.508844 2.500000
4.540000 -6.400000 -2.498092 2.500000
4.140000 -6.700000 -2.512796 2.500000
3.590000 -7.100000 -2.539305 2.500000
2.790000 -7.650000 -2.245537 2.500000
2.190000 -8.400000 -1.518213 2.500000
2.240000 -9.350000 -1.363300 2.500000
2.440000 -10.300000 -0.708626 2.500000
3.140000 -10.900000 -0.071307 2.500000
3.840000 -10.950000 -0.104877 2.500000
4.790000 -11.050000 0.000000 2.500000
5.490000 -11.050000 0.099669 2.500000
5.990000 -11.000000 0.141897 2.500000
6.690000 -10.900000 0.367174 2.500000
7.340000 -10.650000 0.643501 2.500000
7.740000 -10.350000 1.130954 2.500000
8.140000 -9.500000 1.438245 2.500000
8.240000 -8.750000 1.107149 2.500000
8.540000 -8.150000 0.885067 2.500000
8.990000 -7.600000 0.927295 2.500000
9.290000 -7.200000 1.107149 2.500000
9.590000 -6.600000 1.227772 2.500000
9.840000 -5.900000 0.000000 0.000000
